Energy Use Record Name,Carbon Footprint Name,Organization Asset,Asset Contact,Allocated Renewable Energy (kWh),Cooling Consumption,Cooling Unit,Diesel Consumption,Diesel Unit,Electricity Consumption,Electricity Unit,Electricity Emission Factors,Heat Consumption,Heat Unit,Natural Gas Consumption,Natural Gas Unit,Fuel Oil Consumption,Fuel Oil Unit,Steam Consumption,Steam Unit,Emission Conversion Factors,Energy Contract,Energy Service Provider,Carbon Inventory Date,Record Type,Report End Date,Report Start Date,Refrigerant GWP Factor,Renewable Energy Project Type
SF Tower - Jan2019,Salesforce Tower FY20,Salesforce Tower,Bobby Bonilla,10000,10,kWh,100,Liters,200000,kWh,CAMX - eGRID2018,100,Therms,1000,Therms,100,Liters,1000,Therms,GeneralConversionFactors,RE on-bill geothermal XP-992 FY20,Xcel Energy,12/17/19,Commercial Building,1/31/19,1/1/19,HCFC-142b - 2018 revision,Geothermal
SF Tower - May2019,Salesforce Tower FY20,Salesforce Tower,Bobby Bonilla,150000,100,kWh,1000,Liters,175000,kWh,CAMX - eGRID2018,1000,Therms,20500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE PiperFarm SO-192 FY20,Xcel Energy,12/17/19,Commercial Building,5/31/19,5/1/19,HCFC-142b - 2018 revision,Geothermal
Bremington Commons - Oct2019,Bremington Commons FY20,Bremington Commons,Bobby Bonilla,100000,1000,kWh,1000,Liters,189000,kWh,CAMX - eGRID2018,10000,Therms,12500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE SSH-Y22 FY20,Xcel Energy,12/17/19,Commercial Building,10/31/19,10/1/19,HCFC-142b - 2018 revision,Geothermal
Bremington Commons - Sep2019,Bremington Commons FY20,Bremington Commons,Bobby Bonilla,100000,1000,kWh,1000,Liters,149000,kWh,CAMX - eGRID2018,10000,Therms,12500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,L-Mass LLC SO-4 FY20,Xcel Energy,12/17/19,Commercial Building,9/30/19,9/1/19,HCFC-142b - 2018 revision,Wind
Bremington Commons - Jul2019,Bremington Commons FY20,Bremington Commons,Bobby Bonilla,110000,1000,kWh,1000,Liters,170000,kWh,CAMX - eGRID2018,1000,Therms,10500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,Blade4 W-REC-6 FY20,Xcel Energy,12/17/19,Commercial Building,7/31/19,7/1/19,HCFC-142b - 2018 revision,Wind
Bremington Commons - Jun2019,Bremington Commons FY20,Bremington Commons,Bobby Bonilla,150000,1000,kWh,1000,Liters,275000,kWh,CAMX - eGRID2018,1000,Therms,20500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE on-bill geothermal XP-992 FY20,Xcel Energy,12/17/19,Commercial Building,6/30/19,6/1/19,HCFC-142b - 2018 revision,Wind
Bremington Commons - Aug2019,Bremington Commons FY20,Bremington Commons,Bobby Bonilla,110000,1000,kWh,1000,Liters,170000,kWh,CAMX - eGRID2018,10000,Therms,10500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE PiperFarm SO-192 FY20,Xcel Energy,12/17/19,Commercial Building,8/31/19,8/1/19,HCFC-142b - 2018 revision,Wind
Bremington Commons - Nov2019,Bremington Commons FY20,Bremington Commons,Bobby Bonilla,50000,1000,kWh,1000,Liters,89000,kWh,CAMX - eGRID2018,10000,Therms,12500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE SSH-Y22 FY20,Xcel Energy,12/17/19,Commercial Building,11/30/19,11/1/19,HCFC-142b - 2018 revision,Wind
Bremington Commons - Feb2019,Bremington Commons FY20,Bremington Commons,Bobby Bonilla,10000,100,kWh,1000,Liters,250000,kWh,CAMX - eGRID2018,1000,Therms,500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,L-Mass LLC SO-4 FY20,Xcel Energy,12/17/19,Commercial Building,2/28/19,2/1/19,HCFC-142b - 2018 revision,Wind
Bremington Commons - Apr2019,Bremington Commons FY20,Bremington Commons,Bobby Bonilla,100000,100,kWh,1000,Liters,175000,kWh,CAMX - eGRID2018,1000,Therms,25500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,Blade4 W-REC-6 FY20,Xcel Energy,12/17/19,Commercial Building,4/30/19,4/1/19,HCFC-142b - 2018 revision,Wind
Bremington Commons - Mar2019,Bremington Commons FY20,Bremington Commons,Bobby Bonilla,100000,100,kWh,1000,Liters,150000,kWh,CAMX - eGRID2018,1000,Therms,500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,RE on-bill geothermal XP-992 FY20,Xcel Energy,12/17/19,Commercial Building,3/31/19,3/1/19,HCFC-142b - 2018 revision,Wind
Bremington Commons - Dec2019,Bremington Commons FY20,Bremington Commons,Bobby Bonilla,50000,1000,kWh,1000,Liters,129000,kWh,CAMX - eGRID2018,10000,Therms,52500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE PiperFarm SO-192 FY20,Xcel Energy,12/17/19,Commercial Building,12/31/19,12/1/19,HCFC-142b - 2018 revision,Wind
Bremington Commons - Jan2019,Bremington Commons FY20,Bremington Commons,Bobby Bonilla,10000,10,kWh,100,Liters,200000,kWh,CAMX - eGRID2018,100,Therms,1000,Therms,100,Liters,1000,Therms,GeneralConversionFactors,RE SSH-Y22 FY20,Xcel Energy,12/17/19,Commercial Building,1/31/19,1/1/19,HCFC-142b - 2018 revision,Wind
Bremington Commons - May2019,Bremington Commons FY20,Bremington Commons,Bobby Bonilla,150000,100,kWh,1000,Liters,175000,kWh,CAMX - eGRID2018,1000,Therms,20500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,L-Mass LLC SO-4 FY20,Xcel Energy,12/17/19,Commercial Building,5/31/19,5/1/19,HCFC-142b - 2018 revision,Wind
SF Tower - Oct2018,Salesforce Tower FY19,Salesforce Tower,Bobby Bonilla,85000,1000,kWh,1000,Liters,189000,kWh,CAMX - eGRID2018,10000,Therms,12500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,Blade4 W-REC-6 FY20,Xcel Energy,12/17/19,Commercial Building,10/31/18,10/1/18,HCFC-142b - 2018 revision,Wind
SF Tower - Sep2018,Salesforce Tower FY19,Salesforce Tower,Bobby Bonilla,90000,1000,kWh,1000,Liters,149000,kWh,CAMX - eGRID2018,10000,Therms,12500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE on-bill geothermal XP-992 FY20,Xcel Energy,12/17/19,Commercial Building,9/30/18,9/1/18,HCFC-142b - 2018 revision,Wind
SF Tower - Jul2018,Salesforce Tower FY19,Salesforce Tower,Bobby Bonilla,95000,1000,kWh,1000,Liters,170000,kWh,CAMX - eGRID2018,1000,Therms,10500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE PiperFarm SO-192 FY20,Xcel Energy,12/17/19,Commercial Building,7/31/18,7/1/18,HCFC-142b - 2018 revision,Wind
SF Tower - Jun2018,Salesforce Tower FY19,Salesforce Tower,Bobby Bonilla,100000,1000,kWh,1000,Liters,275000,kWh,CAMX - eGRID2018,1000,Therms,20500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE SSH-Y22 FY20,Xcel Energy,12/17/19,Commercial Building,6/30/18,6/1/18,HCFC-142b - 2018 revision,Wind
SF Tower - Aug2018,Salesforce Tower FY19,Salesforce Tower,Bobby Bonilla,105000,1000,kWh,1000,Liters,170000,kWh,CAMX - eGRID2018,10000,Therms,10500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,L-Mass LLC SO-4 FY20,Xcel Energy,12/17/19,Commercial Building,8/31/18,8/1/18,HCFC-142b - 2018 revision,Wind
SF Tower - Nov2018,Salesforce Tower FY19,Salesforce Tower,Bobby Bonilla,50000,1000,kWh,1000,Liters,89000,kWh,CAMX - eGRID2018,10000,Therms,12500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,Blade4 W-REC-6 FY20,Xcel Energy,12/17/19,Commercial Building,11/30/18,11/1/18,HCFC-142b - 2018 revision,Solar
SF Tower - Feb2018,Salesforce Tower FY19,Salesforce Tower,Bobby Bonilla,115000,100,kWh,1000,Liters,250000,kWh,CAMX - eGRID2018,1000,Therms,500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,RE on-bill geothermal XP-992 FY20,Xcel Energy,12/17/19,Commercial Building,2/28/18,2/1/18,HCFC-142b - 2018 revision,Solar
SF Tower - Apr2018,Salesforce Tower FY19,Salesforce Tower,Bobby Bonilla,120000,100,kWh,1000,Liters,175000,kWh,CAMX - eGRID2018,1000,Therms,25500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,RE PiperFarm SO-192 FY20,Xcel Energy,12/17/19,Commercial Building,4/30/18,4/1/18,HCFC-142b - 2018 revision,Solar
SF Tower - Mar2018,Salesforce Tower FY19,Salesforce Tower,Bobby Bonilla,125000,100,kWh,1000,Liters,150000,kWh,CAMX - eGRID2018,1000,Therms,500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,RE SSH-Y22 FY20,Xcel Energy,12/17/19,Commercial Building,3/31/18,3/1/18,HCFC-142b - 2018 revision,Solar
SF Tower - Dec2018,Salesforce Tower FY19,Salesforce Tower,Bobby Bonilla,50000,1000,kWh,1000,Liters,129000,kWh,CAMX - eGRID2018,10000,Therms,52500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,L-Mass LLC SO-4 FY20,Xcel Energy,12/17/19,Commercial Building,12/31/18,12/1/18,HCFC-142b - 2018 revision,Solar
SF Tower - Jan2018,Salesforce Tower FY19,Salesforce Tower,Bobby Bonilla,135000,10,kWh,100,Liters,200000,kWh,CAMX - eGRID2018,100,Therms,1000,Therms,100,Liters,1000,Therms,GeneralConversionFactors,Blade4 W-REC-6 FY20,Xcel Energy,12/17/19,Commercial Building,1/31/18,1/1/18,HCFC-142b - 2018 revision,Solar
SF Tower - May2018,Salesforce Tower FY19,Salesforce Tower,Bobby Bonilla,140000,100,kWh,1000,Liters,175000,kWh,CAMX - eGRID2018,1000,Therms,20500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE on-bill geothermal XP-992 FY20,Xcel Energy,12/17/19,Commercial Building,5/31/18,5/1/18,HCFC-142b - 2018 revision,Solar
Bremington Commons - Oct2018,Bremington Commons FY19,Bremington Commons,Bobby Bonilla,85000,1000,kWh,1000,Liters,189000,kWh,CAMX - eGRID2018,10000,Therms,12500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE PiperFarm SO-192 FY20,Xcel Energy,12/17/19,Commercial Building,10/31/18,10/1/18,HCFC-142b - 2018 revision,Solar
Bremington Commons - Sep2018,Bremington Commons FY19,Bremington Commons,Bobby Bonilla,90000,1000,kWh,1000,Liters,149000,kWh,CAMX - eGRID2018,10000,Therms,12500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE SSH-Y22 FY20,Xcel Energy,12/17/19,Commercial Building,9/30/18,9/1/18,HCFC-142b - 2018 revision,Solar
Bremington Commons - Jul2018,Bremington Commons FY19,Bremington Commons,Bobby Bonilla,95000,1000,kWh,1000,Liters,170000,kWh,CAMX - eGRID2018,1000,Therms,10500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,L-Mass LLC SO-4 FY20,Xcel Energy,12/17/19,Commercial Building,7/31/18,7/1/18,HCFC-142b - 2018 revision,Solar
Bremington Commons - Jun2018,Bremington Commons FY19,Bremington Commons,Bobby Bonilla,100000,1000,kWh,1000,Liters,275000,kWh,CAMX - eGRID2018,1000,Therms,20500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,Blade4 W-REC-6 FY20,Xcel Energy,12/17/19,Commercial Building,6/30/18,6/1/18,HCFC-142b - 2018 revision,Solar
Bremington Commons - Aug2018,Bremington Commons FY19,Bremington Commons,Bobby Bonilla,105000,1000,kWh,1000,Liters,170000,kWh,CAMX - eGRID2018,10000,Therms,10500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE on-bill geothermal XP-992 FY20,Xcel Energy,12/17/19,Commercial Building,8/31/18,8/1/18,HCFC-142b - 2018 revision,Solar
Bremington Commons - Nov2018,Bremington Commons FY19,Bremington Commons,Bobby Bonilla,50000,1000,kWh,1000,Liters,89000,kWh,CAMX - eGRID2018,10000,Therms,12500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE PiperFarm SO-192 FY20,Xcel Energy,12/17/19,Commercial Building,11/30/18,11/1/18,HCFC-142b - 2018 revision,Solar
Bremington Commons - Feb2018,Bremington Commons FY19,Bremington Commons,Bobby Bonilla,115000,100,kWh,1000,Liters,250000,kWh,CAMX - eGRID2018,1000,Therms,500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,RE SSH-Y22 FY20,Xcel Energy,12/17/19,Commercial Building,2/28/18,2/1/18,HCFC-142b - 2018 revision,Solar
Bremington Commons - Apr2018,Bremington Commons FY19,Bremington Commons,Bobby Bonilla,120000,100,kWh,1000,Liters,175000,kWh,CAMX - eGRID2018,1000,Therms,25500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,L-Mass LLC SO-4 FY20,Xcel Energy,12/17/19,Commercial Building,4/30/18,4/1/18,HCFC-142b - 2018 revision,Solar
Bremington Commons - Mar2018,Bremington Commons FY19,Bremington Commons,Bobby Bonilla,125000,100,kWh,1000,Liters,150000,kWh,CAMX - eGRID2018,1000,Therms,500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,Blade4 W-REC-6 FY20,Xcel Energy,12/17/19,Commercial Building,3/31/18,3/1/18,HCFC-142b - 2018 revision,Solar
Bremington Commons - Dec2018,Bremington Commons FY19,Bremington Commons,Bobby Bonilla,50000,1000,kWh,1000,Liters,129000,kWh,CAMX - eGRID2018,10000,Therms,52500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE on-bill geothermal XP-992 FY20,Xcel Energy,12/17/19,Commercial Building,12/31/18,12/1/18,HCFC-142b - 2018 revision,Solar
Bremington Commons - Jan2018,Bremington Commons FY19,Bremington Commons,Bobby Bonilla,135000,10,kWh,100,Liters,200000,kWh,CAMX - eGRID2018,100,Therms,1000,Therms,100,Liters,1000,Therms,GeneralConversionFactors,RE PiperFarm SO-192 FY20,Xcel Energy,12/17/19,Commercial Building,1/31/18,1/1/18,HCFC-142b - 2018 revision,Solar
Bremington Commons - May2018,Bremington Commons FY19,Bremington Commons,Bobby Bonilla,140000,100,kWh,1000,Liters,175000,kWh,CAMX - eGRID2018,1000,Therms,20500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE SSH-Y22 FY20,Xcel Energy,12/17/19,Commercial Building,5/31/18,5/1/18,HCFC-142b - 2018 revision,Solar
SF Tower - Oct2017,Salesforce Tower FY18,Salesforce Tower,Bobby Bonilla,75900,1000,kWh,1000,Liters,189000,kWh,CAMX - eGRID2018,10000,Therms,12500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,L-Mass LLC SO-4 FY20,Xcel Energy,12/17/19,Commercial Building,10/31/17,10/1/17,HCFC-142b - 2018 revision,Solar
SF Tower - Sep2017,Salesforce Tower FY18,Salesforce Tower,Bobby Bonilla,79400,1000,kWh,1000,Liters,149000,kWh,CAMX - eGRID2018,10000,Therms,12500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,Blade4 W-REC-6 FY20,Xcel Energy,12/17/19,Commercial Building,9/30/17,9/1/17,HCFC-142b - 2018 revision,Solar
SF Tower - Jul2017,Salesforce Tower FY18,Salesforce Tower,Bobby Bonilla,85400,1000,kWh,1000,Liters,170000,kWh,CAMX - eGRID2018,1000,Therms,10500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE on-bill geothermal XP-992 FY20,Xcel Energy,12/17/19,Commercial Building,7/31/17,7/1/17,HCFC-142b - 2018 revision,Solar
SF Tower - Jun2017,Salesforce Tower FY18,Salesforce Tower,Bobby Bonilla,91000,1000,kWh,1000,Liters,275000,kWh,CAMX - eGRID2018,1000,Therms,20500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE PiperFarm SO-192 FY20,Xcel Energy,12/17/19,Commercial Building,6/30/17,6/1/17,HCFC-142b - 2018 revision,Solar
SF Tower - Aug2017,Salesforce Tower FY18,Salesforce Tower,Bobby Bonilla,98000,1000,kWh,1000,Liters,170000,kWh,CAMX - eGRID2018,10000,Therms,10500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE SSH-Y22 FY20,Xcel Energy,12/17/19,Commercial Building,8/31/17,8/1/17,HCFC-142b - 2018 revision,Solar
SF Tower - Nov2017,Salesforce Tower FY18,Salesforce Tower,Bobby Bonilla,50000,1000,kWh,1000,Liters,89000,kWh,CAMX - eGRID2018,10000,Therms,12500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,L-Mass LLC SO-4 FY20,Xcel Energy,12/17/19,Commercial Building,11/30/17,11/1/17,HCFC-142b - 2018 revision,Solar
SF Tower - Feb2017,Salesforce Tower FY18,Salesforce Tower,Bobby Bonilla,108260,100,kWh,1000,Liters,250000,kWh,CAMX - eGRID2018,1000,Therms,500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,Blade4 W-REC-6 FY20,Xcel Energy,12/17/19,Commercial Building,2/28/17,2/1/17,HCFC-142b - 2018 revision,Solar
SF Tower - Apr2017,Salesforce Tower FY18,Salesforce Tower,Bobby Bonilla,113840,100,kWh,1000,Liters,175000,kWh,CAMX - eGRID2018,1000,Therms,25500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,RE on-bill geothermal XP-992 FY20,Xcel Energy,12/17/19,Commercial Building,4/30/17,4/1/17,HCFC-142b - 2018 revision,Solar
SF Tower - Mar2017,Salesforce Tower FY18,Salesforce Tower,Bobby Bonilla,119420,100,kWh,1000,Liters,150000,kWh,CAMX - eGRID2018,1000,Therms,500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,RE PiperFarm SO-192 FY20,Xcel Energy,12/17/19,Commercial Building,3/31/17,3/1/17,HCFC-142b - 2018 revision,Solar
SF Tower - Dec2017,Salesforce Tower FY18,Salesforce Tower,Bobby Bonilla,125000,1000,kWh,1000,Liters,129000,kWh,CAMX - eGRID2018,10000,Therms,52500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE SSH-Y22 FY20,Xcel Energy,12/17/19,Commercial Building,12/31/17,12/1/17,HCFC-142b - 2018 revision,Solar
SF Tower - Jan2017,Salesforce Tower FY18,Salesforce Tower,Bobby Bonilla,130580,10,kWh,100,Liters,200000,kWh,CAMX - eGRID2018,100,Therms,1000,Therms,100,Liters,1000,Therms,GeneralConversionFactors,L-Mass LLC SO-4 FY20,Xcel Energy,12/17/19,Commercial Building,1/31/17,1/1/17,HCFC-142b - 2018 revision,Solar
SF Tower - May2017,Salesforce Tower FY18,Salesforce Tower,Bobby Bonilla,136160,100,kWh,1000,Liters,175000,kWh,CAMX - eGRID2018,1000,Therms,20500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,Blade4 W-REC-6 FY20,Xcel Energy,12/17/19,Commercial Building,5/31/17,5/1/17,HCFC-142b - 2018 revision,Solar
Bremington Commons - Oct2017,Bremington Commons FY18,Bremington Commons,Bobby Bonilla,75900,1000,kWh,1000,Liters,189000,kWh,CAMX - eGRID2018,10000,Therms,12500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE on-bill geothermal XP-992 FY20,Xcel Energy,12/17/19,Commercial Building,10/31/17,10/1/17,HCFC-142b - 2018 revision,Solar
Bremington Commons - Sep2017,Bremington Commons FY18,Bremington Commons,Bobby Bonilla,79400,1000,kWh,1000,Liters,149000,kWh,CAMX - eGRID2018,10000,Therms,12500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE PiperFarm SO-192 FY20,Xcel Energy,12/17/19,Commercial Building,9/30/17,9/1/17,HCFC-142b - 2018 revision,Solar
Bremington Commons - Jul2017,Bremington Commons FY18,Bremington Commons,Bobby Bonilla,85400,1000,kWh,1000,Liters,170000,kWh,CAMX - eGRID2018,1000,Therms,10500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE SSH-Y22 FY20,Xcel Energy,12/17/19,Commercial Building,7/31/17,7/1/17,HCFC-142b - 2018 revision,Solar
Bremington Commons - Jun2017,Bremington Commons FY18,Bremington Commons,Bobby Bonilla,91000,1000,kWh,1000,Liters,275000,kWh,CAMX - eGRID2018,1000,Therms,20500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,L-Mass LLC SO-4 FY20,Xcel Energy,12/17/19,Commercial Building,6/30/17,6/1/17,HCFC-142b - 2018 revision,Solar
Bremington Commons - Aug2017,Bremington Commons FY18,Bremington Commons,Bobby Bonilla,98000,1000,kWh,1000,Liters,170000,kWh,CAMX - eGRID2018,10000,Therms,10500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,Blade4 W-REC-6 FY20,Xcel Energy,12/17/19,Commercial Building,8/31/17,8/1/17,HCFC-142b - 2018 revision,Solar
Bremington Commons - Nov2017,Bremington Commons FY18,Bremington Commons,Bobby Bonilla,50000,1000,kWh,1000,Liters,89000,kWh,CAMX - eGRID2018,10000,Therms,12500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE on-bill geothermal XP-992 FY20,Xcel Energy,12/17/19,Commercial Building,11/30/17,11/1/17,HCFC-142b - 2018 revision,Solar
Bremington Commons - Feb2017,Bremington Commons FY18,Bremington Commons,Bobby Bonilla,108260,100,kWh,1000,Liters,250000,kWh,CAMX - eGRID2018,1000,Therms,500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,RE PiperFarm SO-192 FY20,Xcel Energy,12/17/19,Commercial Building,2/28/17,2/1/17,HCFC-142b - 2018 revision,Solar
Bremington Commons - Apr2017,Bremington Commons FY18,Bremington Commons,Bobby Bonilla,113840,100,kWh,1000,Liters,175000,kWh,CAMX - eGRID2018,1000,Therms,25500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,RE SSH-Y22 FY20,Xcel Energy,12/17/19,Commercial Building,4/30/17,4/1/17,HCFC-142b - 2018 revision,Solar
Bremington Commons - Mar2017,Bremington Commons FY18,Bremington Commons,Bobby Bonilla,119420,100,kWh,1000,Liters,150000,kWh,CAMX - eGRID2018,1000,Therms,500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,L-Mass LLC SO-4 FY20,Xcel Energy,12/17/19,Commercial Building,3/31/17,3/1/17,HCFC-142b - 2018 revision,Solar
Bremington Commons - Dec2017,Bremington Commons FY18,Bremington Commons,Bobby Bonilla,125000,1000,kWh,1000,Liters,129000,kWh,CAMX - eGRID2018,10000,Therms,52500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,Blade4 W-REC-6 FY20,Xcel Energy,12/17/19,Commercial Building,12/31/17,12/1/17,HCFC-142b - 2018 revision,Solar
Bremington Commons - Jan2017,Bremington Commons FY18,Bremington Commons,Bobby Bonilla,130580,10,kWh,100,Liters,200000,kWh,CAMX - eGRID2018,100,Therms,1000,Therms,100,Liters,1000,Therms,GeneralConversionFactors,RE on-bill geothermal XP-992 FY20,Xcel Energy,12/17/19,Commercial Building,1/31/17,1/1/17,HCFC-142b - 2018 revision,Solar
Bremington Commons - May2017,Bremington Commons FY18,Bremington Commons,Bobby Bonilla,136160,100,kWh,1000,Liters,175000,kWh,CAMX - eGRID2018,1000,Therms,20500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE PiperFarm SO-192 FY20,Xcel Energy,12/17/19,Commercial Building,5/31/17,5/1/17,HCFC-142b - 2018 revision,Solar
